QUEST_LV_0500_20190419_000001	Я бы предпочел, чтобы это сделал кто-то другой, если это абсолютно необходимо.{nl}Почему это всегда должен быть я?	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20190419_000002	Демоны и монстры все еще на свободе…{nl}По крайней мере, нам не нужно беспокоиться о том, что нас ограбят разбойники.{nl}Если мы сможем выбраться живыми.	몬스터와 마족들이 득실거리니..{nl}적어도 강도를 만날 걱정은 안 해도 되겠어.{nl}살아서 돌아갈 수 있다면 말이지.				케도라 상단원 타다스
QUEST_LV_0500_20190419_000003	Вы идете на разведку в течение нескольких дней, а затем вам нужно написать отчет еще на несколько дней!{nl}Мы можем что-нибудь сделать в этом штате?	정찰하는 데 며칠, 보고하는 데 또 며칠!{nl}이러면 일은 언제 끝낼 생각인 거지?				바바리안 볼케
QUEST_LV_0500_20190419_000004	Я здесь, чтобы помочь Тадасу.{nl}Я здесь не для того, чтобы убирать после беспорядка Волька.	전 타다스님을 도우러 온 것이지.{nl}볼케님이 사고 치는 걸 처리하러 온 게 아닙니다.				케도라 상단원 니르기
QUEST_LV_0500_20190419_000005	Я обманул Картаса и не дал ему украсть Семя Божественного Древа.{nl}Если бы я смог вырваться из этих печатей, я смог бы выздороветь самостоятельно.	카르타스의 눈을 속여 신수의 씨앗을 빼앗기지 않았어요.{nl}이 속박을 풀어낸다면 씨앗의 능력으로 힘을 다시 회복할 수 있을 거예요.				여신 메데이나
QUEST_LV_0500_20190419_000006	Зачем Картасу зайти так далеко, чтобы заточить меня под этим барьером…{nl}Он действительно знает свойства этого семени…?	카르타스가 이 숲에 거대한 결계를 펼치면서까지 저를 쫓는 이유가 무엇일까요..{nl}정말 이 씨앗의 존재를 알고 있는 걸까요?				여신 메데이나
QUEST_LV_0500_20190419_000007	Я найду мисс Нерингу, как только почувствую себя немного лучше.{nl}Я уверен, что она знает способ спасти Мастера Медейну из Картаса.	저는 몸을 추스리는대로 네링가님을 찾아가 보려 해요.{nl}네링가님이라면 분명 카르타스로부터 메데이나님을 구할 방법을 알고 계실 거에요.				큐폴 아스트라
QUEST_LV_0500_20190419_000008	Богослов! Лес окружает зловещая преграда, здесь опасно!{nl}Пожалуйста, тебе пора!	아! 계시자님! 이 숲에는 사악한 결계가 펼쳐져 있어서 들어오시면 위험해요!{nl}어서 벗어나세요!				큐폴 아스트라
QUEST_LV_0500_20190419_000009	Мы оказались в ловушке внутри барьера Картаса, и сил мастера Медеины недостаточно, чтобы сломать его.{nl}Мы должны помочь ей восстановить свои силы…	카르타스가 숲 일대에 펼친 결계 때문에 지금 메데이나님의 힘으로는 이곳을 벗어날 수 없어요.{nl}메데이나님이 어서 기운을 차리시고 회복하셔야 할 텐데..				큐폴 일로나
QUEST_LV_0500_20190419_000010	Если Картас найдет нас, мы будем в большой опасности.{nl}Пожалуйста, помогите мастеру Медейне выздороветь.	카르타스가 이곳을 발견하면 큰일이에요.{nl}메데이나님이 회복할 수 있도록 계시자님께서 도와주세요.				큐폴 일로나
QUEST_LV_0500_20190419_000011	Я рада, что Илона, по крайней мере, в безопасности, несмотря на барьер.{nl}Богослов, пожалуйста, найдите способ отключить барьер.	속박의 결계에 걸리긴 했지만.. 그래도 일로나가 무사해서 다행이에요.{nl}계시자님. 결계를 해제할만한 방법이 있을지 찾아봐 주세요.				큐폴 율리아
QUEST_LV_0500_20190419_000012	Возьми Илону и найди Мастера Медейну.	어서 일로나와 함께 메데이나님을 찾으러 가 봐요.				큐폴 율리아
QUEST_LV_0500_20190419_000013	Здесь ее следы заканчиваются. Заглянем во двор?	메데이나님의 흔적이 이 앞에서 끊겼으니 이 안뜰 안쪽을 확인해보는 게 어떨까요?				큐폴 율리아
QUEST_LV_0500_20190419_000014	О, я так рада, что мастер Медейна в безопасности!{nl}Этот магический круг телепортации нужно уничтожить…	메데이나님이 무사하셔서 다행이에요!{nl}그보다 메데이나님에게 펼쳐진 마계 이동 마법진을 파훼해야 할텐데..				큐폴 율리아
QUEST_LV_0500_20190419_000015	Богослов, пожалуйста, уничтожьте магический круг.{nl}Это может быть единственный шанс, который у нас есть, пока Картаса нет.	계시자님! 메데이나님에게 펼쳐진 마계 이동 마법진을 없애주세요.{nl}카르타스가 없는 지금이 기회에요.				큐폴 일로나
QUEST_LV_0500_20190419_000016	Барьер мастера Медейны наконец-то исчез.{nl}Нам нужно поторопиться…	계시자님 덕분에 메데이나님이 결계를 풀어낼 수 있었네요.{nl}어서 이곳을 벗어나야 할 텐데..				큐폴 일로나
QUEST_LV_0500_20190419_000017	Перегрузка второго магического круга сработала!	보조 마법진에 마력을 과부하 되게 주입하는 게 효과가 있었네요.				큐폴 율리아
QUEST_LV_0500_20190419_000018	Ох… Мастер Медейна…	아.. 저희 때문에 메데이나님이..				큐폴 율리아
QUEST_LV_0500_20190419_000019	Она…	메데이나님..				큐폴 일로나
QUEST_LV_0500_20190419_000020	Я опоздал…	제가 너무 늦었어요..				큐폴 아스트라
