QUEST_LV_0300_20150323_000001	Мы были отправлены сюда из штаб-квартиры для поддержки рыцарей Калисса.{nl}Если вы хотите узнать больше, отправляйтесь в нашу штаб-квартиру на площади Веркти.	칼리스 기사단을 지원하기 위해 본부에서 떨어져 나와 이런 곳에 있습니다.{nl}궁금한 것이 있다면 베르크티 광장에 있는 본부 쪽으로 알아보시기 바랍니다.				경비병 라일
QUEST_LV_0300_20150323_000002	Я всю жизнь был купцом.{nl}После Medzio Diena это казалось самым безопасным местом, поэтому я поселился здесь…{nl}Но, думаю, я ошибался.	전 원래 행상인이었습죠.{nl}신수의 날 이후 여기가 제일 안전한 것 같아서 정착했는데.. 아니었나봅니다요.				상인 둘케
QUEST_LV_0300_20150323_000003	Я встречал много авторов Откровения во время своих путешествий.{nl}На мой взгляд… в них есть что-то особенное, и дело не только в их силе.	여기저기 떠돌아다니면서 계시자라는 사람들을 많이 만나 봤습죠.{nl}제 생각엔.. 계시자님이 특별한 건 단지 강하기 때문만은 아닐 거라는 겁니다요.				상인 둘케
QUEST_LV_0300_20150323_000004	Я не виню богинь и жрецов.{nl}Но я думаю, что это слишком, когда они говорят нам просто доверять им и ждать.	여신과 사제님들을 탓하자는 건 아니야.{nl}하지만 무작정 믿고 기다리라는 건 좀 너무한 것 같아.{nl}				주민 에밀
QUEST_LV_0300_20150323_000005	Печати в деревне должны быть запечатаны - поэтому их называют тюленями,{nl}, так что в этом такого? Священники просто без причины пытаются нас напугать.	마을에 있는 봉인이 닫혀 있으니까 봉인이지 무슨 대수겠어?{nl}사제님들이 괜히 겁을 주는 거라고 생각해.				주민 에밀
QUEST_LV_0300_20150323_000006	Священники не хотят, чтобы все знали, насколько важны печати в деревне.{nl}Они думают, что могут просто взять бремя на себя,{nl}и тогда все будет хорошо.	사제님들은 마을에 있는 봉인이 얼마나 중요한 건지 알게 되길 원치 않으세요.{nl}자신들이 희생하면 그걸로 된 거라면서요.				약사 티아나
QUEST_LV_0300_20150323_000007	Некоторые из священников хотят быть честными и открытыми с жителями деревни.{nl}Таким образом, если случится что-то действительно плохое…	사제님들이 마을사람들과 좀 더 솔직한 이야기를 나누었으면 하는 마음도 있어요.{nl}이러다 정말 큰일이라도 벌어진다면..				약사 티아나
QUEST_LV_0300_20150323_000008	Злая энергия превращает этот лес в безжизненное место.{nl}Это самая большая проблема, с которой сталкивается деревня.	사악한 기운은 숲을 썩게 만들어 생명이 살아갈 수 없는 땅으로 만들어 버립니다.{nl}저희 마을이 품고 있는 가장 큰 문제이기도 하지요.				사제 다지네
QUEST_LV_0300_20150323_000009	Богиня…{nl}Пожалуйста, скажи мне, что с деревенской печатью все в порядке…	여신이시여..{nl}마을의 봉인은 정말 괜찮은 걸까요..				사제 다지네
QUEST_LV_0300_20150323_000010	Демоны будут продолжать атаковать печать и атаковать бесконечно.{nl}Если богиня Аустея все еще отсутствует, как долго мы сможем продержаться…	앞으로도 봉인을 노리고 마족들이 끊임없이 공격해오겠지요.{nl}아우스테야 여신께서 부재중이신 상태로 언제까지 버틸 수 있을지..				사제 다지네
QUEST_LV_0300_20150323_000011	Было ошибкой пытаться справиться с этим самостоятельно.{nl}С этого момента мы будем говорить жителям деревни всю правду и включать их в{nl}целенаправленное обсуждение того, как решить эту проблему.	사제들끼리만 일을 해결하려고 했던 저희의 잘못도 큽니다.{nl}이제부턴 마을 사람들에게 모든 사실을 고하고 천천히 논의해 볼 생각입니다.				사제 다지네
QUEST_LV_0300_20150717_000012	Проверьте работоспособность детектора (1)	탐지기 작동 점검(1)				
QUEST_LV_0300_20150717_000013	Демоны, богини и окаменелый город (1)	마족과 여신들, 그리고 석화된 도시(1)				
QUEST_LV_0300_20150717_000014	Проверьте работоспособность детектора (2)	탐지기 작동 점검(2)				
QUEST_LV_0300_20150717_000015	Демоны, богини и окаменелый город (2)	마족과 여신들, 그리고 석화된 도시(2)				
QUEST_LV_0300_20150717_000016	Проверьте работоспособность детектора (3)	탐지기 작동 점검(3)				
QUEST_LV_0300_20150717_000017	Проверьте работоспособность детектора (4)	탐지기 작동 점검(4)				
QUEST_LV_0300_20150717_000018	О наставлении душ	영혼의 인도에 대해				
QUEST_LV_0300_20150717_000019	Отремонтировать детектор окаменения	탐지기를 수리 하는 중				
QUEST_LV_0300_20150717_000020	Ремонт/MAKING/3/TRACK_AFTER/Нет	수리 중/MAKING/3/TRACK_AFTER/None				
QUEST_LV_0300_20150717_000021	Проверьте работоспособность детектора (5)	탐지기 작동 점검(5)				
QUEST_LV_0300_20150717_000022	Ремонт/MAKING/3/TRACK_BEFORE	수리 중/MAKING/3/TRACK_BEFORE/None				
QUEST_LV_0300_20150717_000023	Обратите внимание/!/Одна из частей закреплена не очень хорошо{nl}Вам понадобится что-то вроде веревки, чтобы привязать ее на месте! #5	Notice/!/부품이 잘 고정되지 않습니다{nl}끈 같은 것이 필요할 것 같습니다!#5				
QUEST_LV_0300_20150717_000024	Обратите внимание/!/Вам нужно найти строку. #5	Notice/!/끈을 구해와야 합니다#5				
QUEST_LV_0300_20150717_000025	Для руководства душ	영혼의 인도를 위해				
QUEST_LV_0300_20150717_000026	Теперь ты можешь расслабиться	이제 안심해도 된다고 한다				
QUEST_LV_0300_20150717_000027	Осмотр устройства/LOOK/2/TRACK_BEFORE/None	장치를 살펴 보는 중/LOOK/2/TRACK_BEFORE/None				
QUEST_LV_0300_20150717_000028	Заметьте/!/Когда вы дотрагиваетесь до устройства, кажется, что из вас высасывают душу!{nl}Вы начинаете чувствовать себя все слабее и слабее!	Notice/!/장치를 만지자 영혼이 빠져 나가는 기분입니다!{nl}점점 기운이 없어지고 있습니다!				
QUEST_LV_0300_20150717_000029	Заметьте/!/Теперь вы чувствуете себя снова полными сил. #5	Notice/이제 기운을 차릴 수 있을 것 같습니다#5				
QUEST_LV_0300_20150717_000030	Его единственное желание (1)	바라는 것은 오직(1)				
QUEST_LV_0300_20150717_000031	О причине его смертельного желания	죽음을 바라는 이유에 대해				
QUEST_LV_0300_20150717_000032	Его единственное желание (3)	바라는 것은 오직(3)				
QUEST_LV_0300_20150717_000033	Его единственное желание (2)	바라는 것은 오직(2)				
QUEST_LV_0300_20150717_000034	Идите к Мастеру клирика	클레릭 마스터에게 가 본다고 한다				
QUEST_LV_0300_20150717_000035	Теперь вы не можете работать вместе	이제 협조할 수 없다				
QUEST_LV_0300_20150717_000036	Уничтожьте терминал (1)	단말기 파괴(1)				
QUEST_LV_0300_20150717_000037	О мэйнфрейме и терминале	본체와 단말기에 대해				
QUEST_LV_0300_20150717_000038	Избегайте атак монстров и уничтожьте терминал! #5	Notice/!/몬스터의 공격을 피해 단말기를 파괴하세요!#5				
QUEST_LV_0300_20150717_000039	Уничтожьте терминал (2)	단말기 파괴(2)				
QUEST_LV_0300_20150717_000040	Воспламеняющийся взрывчатый порошок/FIRE/2/TRACK_BEFORE/Нет	폭약가루를 놓고 점화하는 중/FIRE/2/TRACK_BEFORE/None				
QUEST_LV_0300_20150717_000041	Уведомление/Терминал был разрушен взрывом! #5	Notice/단말기가 폭발하면서 사라졌습니다!#5				
QUEST_LV_0300_20150717_000042	Уничтожьте терминал (3)	단말기 파괴(3)				
QUEST_LV_0300_20150717_000043	И вечный покой (1)	그리고 영원한 안식(1)				
QUEST_LV_0300_20150717_000044	Если у вас есть заключительные слова	마지막으로 할 말이 있다면				
QUEST_LV_0300_20150717_000045	И вечный покой (2)	그리고 영원한 안식(2)				
QUEST_LV_0300_20150717_000046	Размещение сферы/MAKING/3/TRACK_BEFORE/None	오브를 설치 하는 중/MAKING/3/TRACK_BEFORE/None				
QUEST_LV_0300_20150717_000047	И вечный покой (3)	그리고 영원한 안식(3)				
QUEST_LV_0300_20150717_000048	приветствия	인사한다				
QUEST_LV_0300_20150717_000049	Уведомление/Похоже, желание Свитригайлы исполнилось #5	Notice/쉬트리가일라가 원하는 것이 이루어 진 것 같습니다#5				
QUEST_LV_0300_20150717_000050	Осмотрите детектор	탐지기 작동 점검				
QUEST_LV_0300_20150717_000051	Поговорите с Куполе Мейле	큐폴 메일레와 대화				
QUEST_LV_0300_20150717_000052	Поговорите с Куполе, которого вы спасли от Окаменевшего Мороза.	석화서리로부터 구해 준 큐폴과 대화해 보세요.				
QUEST_LV_0300_20150717_000053	Осмотрите детекторы окаменения.	석화 탐지기들을 살펴 보기	QUEST_LV_0200_20150714_008215	Examine the Petrification Detector	석화 탐지기 확인	
