QUEST_LV_0400_20161005_000001	Торговец Альянса Кедора Альта	케도라 상단원 알타				
QUEST_LV_0400_20161005_000002	Я пришел сюда, потому что волновался, но я не осмелюсь зайти туда один.{nl}Вот почему я спрашиваю вас.	걱정이 돼서 와 봤지만 혼자서는 저 안으로 들어갈 엄두가 안나는구먼.{nl}그러니 이렇게 자네에게 부탁하는 걸세.				케도라 상단원 알타
QUEST_LV_0400_20161005_000003	Я не могу просто заглядывать в такие места, знаете ли.{nl}Там просто сидят монстры…	안에 뭐가 있을 지 어떻게 알고 들어가겠나.{nl}뻔히 저렇게 몬스터들이 있기도 하고..				케도라 상단원 알타
QUEST_LV_0400_20161005_000004	Среди беженцев ходят слухи о легенде об Алембике.{nl}Я хотел знать правду.	피난민들 사이에서 알렘빅 전설이라는 것이 돌고 있더라고.{nl}그 실체를 확인하고 싶었지.				케도라 상단원 알타
QUEST_LV_0400_20161005_000005	{nl}Там могут быть продукты, которые ищет Альянс…{nl}Поскольку вы все равно собирались исследовать пещеру, это все равно, что ударить двух пополионов одним камнем.	{nl}상단에서 찾는 물건이 있을지도 모르고..{nl}자네도 이 동굴을 탐험할 거였으면 겸사겸사 기고 용병단을 찾아주면 서로 좋은 일 아닌가.				케도라 상단원 알타
QUEST_LV_0400_20161005_000006	{nl}Я дам вам эту книгу в качестве оплаты.{nl}Это будет лучше, чем вслепую, не так ли?	{nl}대신 이 책을 주겠네.{nl}아무 것도 모르고 들어가는 것 보다는 조금이나마 도움이 될테니 말이야.				케도라 상단원 알타
QUEST_LV_0400_20161005_000007	Священник Линтас исправляет содержимое памятника.{nl}Этот процесс занимает некоторое время.	사제 린타스가 기념비의 내용을 수정 중이다.{nl}꽤 작업이 길어지고 있다.				사제 린타스
QUEST_LV_0400_20161005_000008	Благодаря вам памятник был исправлен.{nl}Нам нужно проверить статус священника Кидаса и Брунаса.	덕분에 기념비를 수정했습니다.{nl}사제 키다스와 브루나스의 진행 상황을 알아봐야겠습니다.				사제 린타스
QUEST_LV_0400_20161005_000009	Даже с помощью флешета нигде не найти.{nl}Я должен вернуться к своему хозяину, немного разобравшись здесь.	도움을 받아도 플레세트는 못 찾았어요.{nl}일단 여기 일을 좀 정리해서 스승님께 돌아갈 겁니다.				우그니스
QUEST_LV_0400_20161005_000010	Аквалес	아퀼라스				
QUEST_LV_0400_20161005_000011	Я пришел сюда, чтобы научиться стрельбе из лука, но просто бегаю по делам, ищу эту взорванную стрелу…{nl}Если бы я знал, что мне нужно искать стрелы. Я бы не пошел в это путешествие…{nl}	궁술을 배우려고 여기까지 따라왔건만 알려주는 건 별거 없고 화살을 찾으라니..{nl}화살 찾으러 다닌다는 사실만 알았어도 이런 고생길에 나서진 않았을 거야.. {nl}				아퀼라스
QUEST_LV_0400_20161005_000012	Я имею в виду, это все из-за Лидии Шаффен.{nl}Ей следовало забрать свою флешетту или что-то еще, если бы она использовала ее, чтобы убить Зибуринаса!	리디아 샤펜도 그렇지. {nl}플레세트인지 뭔지로 지부리나스를 죽였으면 화살을 수거해 가야지 그냥 두고가?				아퀼라스
